INDEX,POS,CON,INDICATOR,RETURN,CUM_RETURN
2006-02-23,L,2006-03-22,L,0.002481389578163684,-0.5416486479229412
2006-02-24,L,2006-03-22,L,-0.005775577557755707,-0.5442958917055645
2006-02-27,L,2006-03-22,L,-0.00912863070539427,-0.5484558462211153
2006-02-28,L,2006-04-19,L,-0.0070367474589523304,-0.5516332483978237
2006-03-01,L,2006-04-19,L,-0.0023622047244094,-0.5526923824567265
2006-03-02,L,2006-04-19,L,0.006314127861089203,-0.549868024966319
2006-03-03,L,2006-04-19,L,-0.007058823529411784,-0.5530454271430274
2006-03-06,L,2006-04-19,L,0.011058451816745807,-0.5481028015348144
2006-03-07,L,2006-04-19,L,0.0078125,-0.5445723546718051
2006-03-08,L,2006-04-19,L,-0.007751937984496138,-0.5481028015348144
2006-03-09,L,2006-04-19,L,0.00390625,-0.5463375781033097
2006-03-10,L,2006-04-19,L,-0.010116731517509692,-0.5509271590252218
2006-03-13,L,2006-04-19,L,-0.0015723270440252124,-0.5516332483978237
2006-03-14,L,2006-04-19,L,-0.006299212598425252,-0.5544576058882311
2006-03-15,L,2006-04-19,L,0.0,-0.5544576058882311
2006-03-16,L,2006-04-19,L,-0.015055467511885912,-0.5611654549279487
2006-03-17,L,2006-04-19,L,-0.002413515687851975,-0.5622245889868515
2006-03-20,L,2006-04-19,L,0.008064516129032251,-0.5586941421238423
2006-03-21,L,2006-04-19,L,0.0031999999999998696,-0.5572819633786386
2006-03-22,L,2006-04-19,L,-0.015151515151515138,-0.5639898124183562
2006-03-23,L,2006-04-19,L,0.004048582995951566,-0.5622245889868515
2006-03-24,L,2006-04-19,L,-0.007258064516128981,-0.5654019911635597
2006-03-27,L,2006-04-19,L,-0.0008123476848090894,-0.5657550358498606
2006-03-28,L,2006-04-19,L,0.0,-0.5657550358498606
2006-03-29,L,2006-04-19,L,-0.02357723577235782,-0.5759933317525876
2006-03-30,L,2006-04-19,L,-0.008326394671107407,-0.5795237786155969
2006-03-31,L,2006-05-17,L,0.0007818608287726292,-0.5791950247286661
2006-04-03,L,2006-05-17,L,-0.007812500000000111,-0.5824825635979733
2006-04-04,L,2006-05-17,L,-0.0015748031496062298,-0.5831400713718349
2006-04-05,L,2006-05-17,L,-0.01340694006309151,-0.5887288874496572
2006-04-06,L,2006-05-17,L,-0.0151878497202238,-0.5949752113013411
2006-04-07,L,2006-05-17,L,0.02110389610389607,-0.5864276102411421
2006-04-10,L,2006-05-17,L,0.007949125596184325,-0.5831400713718349
2006-04-11,L,2006-05-17,L,0.010252365930599527,-0.5788662708417353
2006-04-12,L,2006-05-17,L,0.010928961748633892,-0.5742637164247051
2006-04-13,L,2006-05-17,L,-0.003088803088802994,-0.5755787319724279
2006-04-17,L,2006-05-17,L,-0.0007745933384972759,-0.5759074858593587
2006-04-18,L,2006-05-17,L,-0.02635658914728678,-0.5870851180150034
2006-04-19,L,2006-05-17,L,0.0007961783439489611,-0.5867563641280726
2006-04-20,L,2006-05-17,L,-0.01352426412092278,-0.5923451802058951
2006-04-21,L,2006-05-17,L,0.016129032258064502,-0.5857701024672806
2006-04-24,L,2006-05-17,L,-0.006349206349206327,-0.5884001335627264
2006-04-25,L,2006-05-17,L,0.0023961661341853624,-0.5874138719019342
2006-04-26,L,2006-05-17,L,-0.013545816733067761,-0.5930026879797565
2006-04-27,L,2006-05-17,L,-0.0056542810985460434,-0.5953039651882717
2006-04-28,L,2006-06-21,L,-0.009508716323296307,-0.5991521049804592
2006-05-01,L,2006-06-21,L,0.008000000000000007,-0.5959453218203029
2006-05-02,L,2006-06-21,L,-0.01031746031746028,-0.6001141399285062
2006-05-03,L,2006-06-21,L,0.008821170809943712,-0.5965866784523342
2006-05-04,L,2006-06-21,L,0.00556438791732905,-0.5943419302402249
2006-05-05,L,2006-06-21,L,-0.011857707509881465,-0.5991521049804593
2006-05-08,L,2006-06-21,L,0.0040000000000000036,-0.5975487134003812
2006-05-09,L,2006-06-21,L,-0.007968127490039945,-0.6007554965605375
2006-05-10,L,2006-06-21,L,-0.004016064257028051,-0.6023588881406157
2006-05-11,L,2006-06-21,L,0.02580645161290329,-0.5920971820281153
2006-05-12,L,2006-06-21,L,0.045597484276729494,-0.5734978396992088
2006-05-15,L,2006-06-21,L,-0.006015037593984918,-0.5760632662273337
2006-05-16,L,2006-06-21,L,-0.0113464447806354,-0.5808734409675682
2006-05-17,L,2006-06-21,L,0.09563886763580709,-0.5407886514656142
2006-05-18,L,2006-06-21,L,0.014664804469273651,-0.534054406829286
2006-05-19,L,2006-06-21,L,0.019270474879559574,-0.5250754139808482
2006-05-22,L,2006-06-21,L,0.06009453072248472,-0.496535043855457
2006-05-23,L,2006-06-21,L,-0.004458598726114538,-0.4987797920675664
2006-05-24,L,2006-06-21,L,0.02559181062060145,-0.4859526594269411
2006-05-25,L,2006-06-21,L,-0.04242046163443547,-0.5077587849160041
2006-05-26,L,2006-06-21,L,-0.032573289902280145,-0.5237927007167857
2006-05-31,L,2006-07-19,L,0.058193979933110374,-0.4960803026982977
2006-06-01,L,2006-07-19,L,-0.036662452591656125,-0.514555234710623
2006-06-02,L,2006-07-19,L,-0.02493438320209984,-0.5266595005118018
2006-06-05,L,2006-07-19,L,0.04576043068640634,-0.5049992353939032
2006-06-06,L,2006-07-19,L,0.013513513513513598,-0.49831003587219913
2006-06-07,L,2006-07-19,L,0.029206349206349236,-0.4836575035865618
2006-06-08,L,2006-07-19,L,0.034546576187538536,-0.4658196381953511
2006-06-09,L,2006-07-19,L,0.0065593321407273475,-0.46231577177922045
2006-06-12,L,2006-07-19,L,0.03672985781990534,-0.4425667065246657
2006-06-13,L,2006-07-19,L,0.06285714285714294,-0.40752804236335893
2006-06-14,L,2006-07-19,L,0.009139784946236462,-0.4021129760838843
2006-06-15,L,2006-07-19,L,-0.14437932871603631,-0.4884355032449218
2006-06-16,L,2006-07-19,L,0.03673723536737228,-0.4696420379220392
2006-06-19,L,2006-07-19,L,0.012612612612612706,-0.4629528384003351
2006-06-20,L,2006-07-19,L,-0.018979833926453193,-0.47314590433816983
2006-06-21,L,2006-07-19,L,-0.056831922611849994,-0.5030880355305591
2006-06-22,L,2006-07-19,L,0.007692307692307665,-0.4992656358038712
2006-06-23,L,2006-07-19,L,-0.004452926208651453,-0.5014953689777726
2006-06-26,L,2006-07-19,L,-0.012779552715655007,-0.5078660351889193
2006-06-27,L,2006-07-19,L,0.025889967637540368,-0.4951247027666259
2006-06-28,L,2006-07-19,L,0.003785488958990557,-0.4932135029032819
2006-06-29,L,2006-07-19,L,-0.10119421747328716,-0.5444973659030126
2006-06-30,L,2006-08-16,L,-0.028795811518324554,-0.5576139339005699
2006-07-03,L,2006-08-16,L,-0.015498652291105142,-0.5644703217174747
2006-07-05,L,2006-08-16,L,0.0232717316906228,-0.5543347919011805
2006-07-06,L,2006-08-16,L,0.01672240802675584,-0.546882196448023
2006-07-07,L,2006-08-16,L,0.009868421052631637,-0.5424106391761285
2006-07-10,S,2006-08-16,S,-0.006514657980456029,-0.5453916773573915
2006-07-11,S,2006-08-16,S,0.008414239482200547,-0.5415664940600752
2006-07-12,S,2006-08-16,S,-0.021540469973890364,-0.5514413672297994
2006-07-13,S,2006-08-16,S,-0.06900958466453666,-0.5823962121749634
2006-07-14,S,2006-08-16,S,-0.025104602510460206,-0.5928799892751735
2006-07-17,L,2006-08-16,L,-0.013994169096209874,-0.5985772955477076
2006-07-18,L,2006-08-16,L,-0.02069781194559439,-0.6068858671951529
2006-07-19,L,2006-08-16,L,-0.05132850241545883,-0.6270638269103775
2006-07-20,L,2006-08-16,L,0.03755569700827488,-0.6130579489903981
2006-07-21,L,2006-08-16,L,0.023312883435582687,-0.604037214058886
2006-07-24,L,2006-08-16,L,-0.08273381294964022,-0.6367967251259565
2006-07-25,L,2006-08-16,L,-0.022222222222222254,-0.6448679090120464
2006-07-26,L,2006-08-16,L,-0.014705882352941235,-0.6500904397618692
2006-07-27,L,2006-08-16,L,0.01899592944369055,-0.6434435824439129
2006-07-28,L,2006-08-16,L,-0.029960053262316877,-0.6541260317049142
2006-07-31,L,2006-09-20,L,0.007236842105263319,-0.6516229964080418
2006-08-01,L,2006-09-20,L,0.020901371652514822,-0.6443414391807767
2006-08-02,L,2006-09-20,L,-0.01791426743442104,-0.6507128017546335
2006-08-03,L,2006-09-20,L,-0.009771986970684043,-0.654126031704914
2006-08-04,L,2006-09-20,L,0.013815789473684337,-0.6493475097745214
2006-08-07,L,2006-09-20,L,0.007138221933809197,-0.6468444744776489
2006-08-08,L,2006-09-20,L,-0.003865979381443174,-0.6482097664577611
2006-08-09,L,2006-09-20,L,-0.009702457956015542,-0.6516229964080416
2006-08-10,L,2006-09-20,L,0.009797517962116364,-0.6482097664577611
2006-08-11,L,2006-09-20,L,0.0032341526520049957,-0.647072023141001
2006-08-14,L,2006-09-20,L,-0.03159252095422305,-0.6582219076452505
2006-08-15,S,2006-09-20,S,0.0046604527296937315,-0.6566290670017864
2006-08-16,L,2006-09-20,L,-0.05150501672240804,-0.6743143926478482
2006-08-17,S,2006-09-20,S,0.0035260930888574293,-0.6731659948786235
2006-08-18,L,2006-09-20,L,-0.02264685067232841,-0.6805677557872463
2006-08-21,S,2006-09-20,S,0.005068790731354134,-0.6789486205884849
2006-08-22,S,2006-09-20,S,0.0029112081513829047,-0.6780139731957295
2006-08-23,S,2006-09-20,S,-0.02481751824817513,-0.6860048672916019
2006-08-24,S,2006-09-20,S,0.008547008547008517,-0.6833211482086241
2006-08-25,S,2006-09-20,S,0.02442528735632188,-0.6755861762539497
2006-08-28,S,2006-09-20,S,0.0176730486008837,-0.6698527949800873
2006-08-29,S,2006-09-20,S,-0.01724137931034475,-0.6755449881700858
2006-08-30,S,2006-09-20,S,0.005158437730287457,-0.6738713071952815
2006-08-31,S,2006-10-18,S,0.00972897845726206,-0.6706984081686894
2006-09-01,S,2006-10-18,S,0.021052631578947434,-0.6637657430775039
2006-09-05,S,2006-10-18,S,-0.00931899641577072,-0.6668991089126239
2006-09-06,S,2006-10-18,S,-0.03338068181818188,-0.6780182437713645
2006-09-07,S,2006-10-18,S,-0.013058419243986208,-0.682222816533113
2006-09-08,S,2006-10-18,S,0.004070556309362261,-0.6809292866139807
2006-09-11,S,2006-10-18,S,-0.006811989100817373,-0.6831027928359562
2006-09-12,S,2006-10-18,S,0.04330175913396472,-0.6693805863011126
2006-09-13,S,2006-10-18,S,0.016973125884017004,-0.6637689413727015
2006-09-14,S,2006-10-18,S,-0.015827338129496216,-0.6690905840272343
2006-09-15,S,2006-10-18,S,-0.0021246458923513956,-0.6697936493586212
2006-09-18,S,2006-10-18,S,0.010600706713780994,-0.6662932286804439
2006-09-19,S,2006-10-18,S,0.007857142857142785,-0.6636712469057904
2006-09-20,S,2006-10-18,S,0.02015838732901376,-0.6568914016310331
