cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,SUM_CASES,DATE
4305.0,15090.0,2776.0,234.0,13055.0,860.0,81.0,188.0,47637.0,18681.0,1211.0,3286.0,48.0,863.0,26829.0,251.0,25.0,950.0,698.0,76.0,10248.0,403.0,20156.0,4224.0,6481.0,2785.0,2490.0,25595.0,3262.0,9361.0,23065.0,245214.0,2020-10-30
4149.0,17998.0,2378.0,0.0,12980.0,1017.0,125.0,215.0,36437.0,16774.0,1547.0,2194.0,97.0,667.0,24988.0,251.0,23.0,776.0,774.0,106.0,8092.0,322.0,18820.0,3960.0,5343.0,2887.0,2612.0,23580.0,3390.0,8155.0,24700.0,225357.0,2020-10-29
2698.0,22210.0,1413.0,181.0,15663.0,745.0,37.0,193.0,33417.0,14964.0,1256.0,2291.0,70.0,700.0,21989.0,136.0,25.0,413.0,485.0,76.0,10283.0,433.0,16300.0,3299.0,4724.0,901.0,1523.0,19765.0,2415.0,6362.0,22885.0,207852.0,2020-10-28
2512.0,19868.0,828.0,91.0,10273.0,1056.0,17.0,122.0,26771.0,11409.0,714.0,2079.0,56.0,939.0,17007.0,79.0,48.0,765.0,195.0,107.0,10324.0,676.0,10241.0,2447.0,2844.0,1312.0,1130.0,18418.0,1068.0,17357.0,20890.0,181643.0,2020-10-27
2766.0,4895.0,2421.0,101.0,7300.0,945.0,60.0,196.0,52010.0,8685.0,790.0,2316.0,54.0,1020.0,21273.0,211.0,25.0,606.0,491.0,80.0,10194.0,0.0,11742.0,2577.0,3855.0,3042.0,1673.0,52188.0,514.0,0.0,19790.0,211820.0,2020-10-26
2989.0,11557.0,2242.0,130.0,12474.0,789.0,51.0,178.0,45422.0,11176.0,935.0,3149.0,86.0,847.0,19640.0,259.0,10.0,474.0,862.0,122.0,8639.0,0.0,13628.0,3669.0,4761.0,2890.0,1964.0,0.0,1477.0,0.0,23012.0,173432.0,2020-10-25
3442.0,18876.0,1867.0,160.0,15258.0,859.0,53.0,219.0,42032.0,14714.0,841.0,1820.0,40.0,785.0,19143.0,250.0,42.0,441.0,518.0,115.0,9983.0,268.0,13632.0,2899.0,5028.0,2581.0,1662.0,0.0,1868.0,6592.0,20531.0,186519.0,2020-10-24
2570.0,17687.0,1563.0,188.0,14150.0,760.0,76.0,184.0,41622.0,11242.0,882.0,2066.0,38.0,1054.0,16078.0,161.0,26.0,424.0,662.0,121.0,9268.0,193.0,12107.0,3270.0,4902.0,1728.0,1668.0,19851.0,1666.0,4968.0,21238.0,192413.0,2020-10-23
2355.0,17485.0,1424.0,127.0,14969.0,630.0,44.0,222.0,26676.0,11287.0,865.0,2032.0,37.0,1166.0,15199.0,188.0,13.0,311.0,430.0,111.0,8738.0,168.0,10040.0,2535.0,4848.0,2202.0,1508.0,20986.0,1570.0,5596.0,26687.0,180449.0,2020-10-22
1803.0,19265.0,890.0,152.0,11984.0,529.0,42.0,294.0,20468.0,7595.0,667.0,1423.0,92.0,1263.0,10871.0,115.0,22.0,202.0,353.0,155.0,8149.0,147.0,9291.0,1876.0,3400.0,705.0,794.0,16973.0,1290.0,3008.0,21330.0,145148.0,2020-10-21
